Población total (con información hasta localidad),,,,,,,,,,,,,,,,,,,,,,,,
Sexo : Hombres,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Población total con estimación   Por: Entidad municipio y loc   Según: Edad quinquenal,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,De 0 a 4 años,De 5 a 9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 34 años,De 35 a 39 años,De 40 a 44 años,De 45 a 49 años,De 50 a 54 años,De 55 a 59 años,De 60 a 64 años,De 65 a 69 años,De 70 a 74 años,De 75 a 79 años,De 80 a 84 años,De 85 a 89 años,De 90 a 94 años,De 95 a 99 años,De 100 y más años,No especificado
 20 519 ,Santo Domingo Tomaltepec,"2,353",245,324,324,272,193,193,159,130,91,93,72,60,60,51,30,22,16,10,6,,1,1
 20 520 ,Santo Domingo Tonalá,"6,591",867,992,943,729,503,380,353,300,235,249,198,172,167,133,113,72,76,54,19,13,3,20
 20 521 ,Santo Domingo Tonaltepec,394,39,43,48,29,21,19,11,6,13,14,24,20,28,23,21,18,11,4,,1,,1
 20 522 ,Santo Domingo Xagacía,"1,132",154,162,155,93,56,57,60,56,41,52,52,52,50,35,20,15,10,7,2,2,,1
 20 523 ,Santo Domingo Yanhuitlán,"1,760",198,217,240,144,101,109,93,89,57,82,70,73,71,69,41,38,21,29,8,4,3,3
 20 524 ,Santo Domingo Yodohino,521,66,82,72,43,29,34,36,18,12,11,23,23,21,17,9,9,7,6,3,,,
 20 525 ,Santo Domingo Zanatepec,"9,694","1,197","1,455","1,493","1,022",705,577,525,530,439,424,322,261,237,175,118,86,62,36,17,5,2,6
 20 526 ,Santos Reyes Nopala,"11,582","1,816","1,932","1,746","1,181",834,764,605,603,446,426,348,267,240,126,95,59,45,23,7,3,8,8
 20 527 ,Santos Reyes Pápalo,"2,312",353,423,319,227,163,132,106,114,97,110,80,55,55,34,20,13,7,2,,,,2
 20 528 ,Santos Reyes Tepejillo,"1,587",185,254,257,180,115,95,83,69,49,61,39,34,47,22,33,9,20,5,15,5,9,1
 20 529 ,Santos Reyes Yucuná,"1,121",187,187,190,121,75,62,53,50,38,41,28,16,22,18,13,9,7,3,1,,,
 20 530 ,Santo Tomás Jalieza,"2,513",370,399,355,271,213,186,125,112,93,105,58,68,52,37,27,20,9,10,,2,,1
 20 531 ,Santo Tomás Mazaltepec,"1,954",248,288,309,211,138,107,103,110,68,64,64,68,57,45,28,24,11,8,2,1,,
 20 532 ,Santo Tomás Ocotepec,"4,361",645,658,708,462,295,192,201,190,182,188,194,130,119,72,56,37,18,8,2,2,,2
 20 533 ,Santo Tomás Tamazulapam,"1,674",196,224,230,194,129,92,74,89,67,65,70,66,41,44,29,22,16,17,3,2,1,3
 20 534 ,San Vicente Coatlán,"3,289",533,544,467,333,276,215,212,178,132,105,95,61,76,25,14,11,5,4,1,1,1,
 20 535 ,San Vicente Lachixío,"2,126",339,401,333,217,149,132,132,99,81,74,38,43,34,21,15,9,2,4,2,,,1
 20 536 ,San Vicente Nuñú,591,51,57,69,42,41,37,35,24,17,19,21,34,33,38,16,26,21,7,1,2,,
 20 537 ,Silacayoapam,"11,025","1,493","1,695","1,659","1,209",815,537,478,482,376,403,343,366,322,228,167,158,119,70,33,27,10,35
 20 538 ,Sitio de Xitlapehua,687,80,82,105,87,62,48,33,24,18,28,30,29,18,11,9,10,3,9,,1,,
 20 539 ,Soledad Etla,"3,205",331,399,400,407,347,266,204,178,137,112,93,89,57,59,51,31,20,16,4,1,1,2
 20 540 ,Villa de Tamazulapam del Progreso,"5,566",673,721,660,754,561,373,328,257,197,168,161,157,133,124,103,69,38,41,18,21,3,6
 20 541 ,Tanetze de Zaragoza,"1,837",210,251,190,184,118,129,109,128,82,83,78,77,68,51,37,20,15,2,1,1,1,2
 20 542 ,Taniche,"1,063",135,152,169,114,87,66,45,38,43,31,30,36,42,31,19,11,6,7,,,,1
 20 543 ,Tataltepec de Valdés,"4,622",717,790,664,508,375,292,226,252,164,192,112,95,82,45,49,9,23,7,6,3,1,10
 20 544 ,Teococuilco de Marcos Pérez,"1,716",229,284,244,152,115,74,72,61,69,73,69,77,70,47,26,31,14,7,1,,,1
 20 545 ,Teotitlán de Flores Magón,"6,703",813,917,960,698,521,489,416,360,266,259,215,214,166,112,105,82,53,33,16,6,2,
 20 546 ,Teotitlán del Valle,"5,083",487,639,659,594,444,375,305,297,177,243,220,169,144,111,76,60,37,18,10,5,2,11
 20 547 ,Teotongo,"1,298",146,206,216,107,66,54,68,57,39,38,51,47,45,55,29,32,29,8,3,1,1,
 20 548 ,Tepelmeme Villa de Morelos,"1,642",198,262,281,147,73,65,57,69,70,74,58,62,54,53,34,40,24,14,5,1,1,
 20 549 ,Tezoatlán de Segura y Luna,"12,085","1,670","1,887","1,731","1,181",914,691,596,517,423,467,380,416,324,286,224,125,116,70,41,18,5,3
 20 550 ,San Jerónimo Tlacochahuaya,"4,491",448,642,657,496,271,270,278,229,172,173,177,157,155,138,89,65,45,18,7,1,,3
 20 551 ,Tlacolula de Matamoros,"12,255","1,202","1,646","1,583","1,328","1,020",873,769,679,532,521,456,388,358,332,202,156,104,64,15,14,,13
 20 552 ,Tlacotepec Plumas,588,77,98,78,39,19,31,28,28,16,14,17,23,30,31,14,17,10,15,3,,,
 20 553 ,Tlalixtac de Cabrera,"5,121",601,667,676,613,458,386,336,302,176,198,152,125,118,96,80,64,30,23,5,3,1,11
 20 554 ,Totontepec Villa de Morelos,"5,394",808,881,704,432,352,295,281,277,218,225,181,205,179,134,92,40,44,18,10,8,7,3
 20 555 ,Trinidad Zaachila,"2,763",296,371,407,327,260,177,156,130,129,108,109,57,70,75,35,30,16,6,2,,1,1
 20 556 ,La Trinidad Vista Hermosa,429,59,80,66,37,24,25,33,15,14,10,14,17,12,8,6,6,1,2,,,,
 20 557 ,Unión Hidalgo,"11,957","1,189","1,421","1,605","1,506","1,003",766,656,606,618,538,549,409,337,226,210,150,85,47,15,8,5,8
 20 558 ,Valerio Trujano,"1,710",242,231,221,179,125,126,91,55,74,74,56,59,54,43,27,15,18,11,6,2,,1
 20 559 ,San Juan Bautista Valle Nacional,"21,045","3,218","3,423","2,895","2,294","1,862","1,469","1,105","1,080",791,779,504,450,356,216,218,140,79,52,42,15,12,45
 20 560 ,Villa Díaz Ordaz,"5,901",664,831,786,592,395,335,360,281,267,278,256,257,181,162,101,71,44,26,8,1,4,1
 20 561 ,Yaxe,"1,946",245,331,275,185,168,120,120,103,90,79,56,63,35,24,19,17,9,6,1,,,
 20 562 ,Magdalena Yodocono de Porfirio Díaz,"1,311",199,210,181,109,94,81,67,47,49,52,38,24,35,39,28,26,12,11,4,2,2,1
 20 563 ,Yogana,"1,677",213,241,246,187,111,95,92,75,95,78,59,34,48,23,34,15,14,6,3,1,1,6
 20 564 ,Yutanduchi de Guerrero,"1,266",185,208,167,112,55,57,59,51,58,63,68,58,46,33,9,12,14,6,2,2,1,
 20 565 ,Villa de Zaachila,"11,961","1,359","1,535","1,425","1,359","1,159",984,789,678,473,477,425,331,261,217,172,139,85,69,17,4,2,1
 20 566 ,Zapotitlán del Río,"3,191",548,588,510,284,213,192,165,125,107,106,99,78,52,47,27,20,10,9,5,,2,4
 20 567 ,Zapotitlán Lagunas,"3,335",509,588,516,319,183,178,142,152,121,102,83,90,113,61,76,39,29,22,7,3,2,
 20 568 ,Zapotitlán Palmas,"1,572",242,302,285,116,76,64,76,59,52,66,50,44,48,24,32,9,12,4,5,4,2,
 20 569 ,Santa Inés de Zaragoza,"2,205",272,335,346,172,105,90,92,75,81,123,90,114,84,80,55,47,19,17,4,1,,3
 20 570 ,Zimatlán de Alvarez,"15,315","1,936","2,147","2,077","1,800","1,300",958,878,779,650,563,475,413,388,309,202,146,98,69,27,8,3,89
#NAME?,Puebla,"4,126,101","549,465","587,427","566,985","471,300","369,823","295,479","250,317","220,557","166,092","148,058","118,670","99,683","85,006","63,979","45,259","31,992","22,198","13,525","5,691","2,545","1,338","10,712"
 21 001 ,Acajete,"41,227","6,067","6,786","6,247","4,674","3,558","2,669","2,202","1,880","1,471","1,312","1,075",847,737,584,390,238,165,119,53,19,8,126
 21 002 ,Acateno,"8,998","1,266","1,319","1,251",976,728,597,509,424,418,380,277,230,181,140,104,81,56,22,9,6,6,18
 21 003 ,Acatlán,"28,875","3,670","4,268","4,484","3,351","1,968","1,666","1,423","1,328","1,111","1,042",948,858,852,549,458,330,231,161,82,21,9,65
 21 004 ,Acatzingo,"31,059","4,955","4,864","4,534","3,456","2,929","2,081","1,684","1,473","1,048",924,712,659,496,419,283,216,131,91,46,19,7,32
 21 005 ,Acteopan,"2,760",329,387,356,264,271,197,161,179,109,131,99,97,54,47,25,24,13,6,1,,,10
 21 006 ,Ahuacatlán,"11,334","1,594","1,771","1,504","1,216",910,765,620,645,535,452,347,243,280,126,122,62,60,10,20,4,6,42
 21 007 ,Ahuatlán,"3,374",525,642,599,314,142,156,140,151,143,116,100,82,66,56,42,31,29,12,15,3,,10
 21 008 ,Ahuazotepec,"7,811","1,042","1,199","1,230",861,661,500,413,370,286,244,234,184,170,139,110,68,43,33,15,4,4,1
 21 009 ,Ahuehuetitla,"2,483",340,417,428,285,99,103,85,109,79,82,89,97,79,70,47,31,22,7,8,2,1,3
 21 010 ,Ajalpan,"36,884","5,717","5,791","5,059","4,001","3,039","2,738","2,144","1,915","1,526","1,229",892,778,686,443,350,209,161,82,44,24,14,42
 21 011 ,Albino Zertuche,"1,791",281,302,264,176,98,92,89,68,61,71,75,55,41,28,29,26,18,9,4,2,1,1
 21 012 ,Aljojuca,"6,502",810,928,954,721,472,393,378,301,217,264,195,236,195,131,121,76,54,34,8,5,2,7
 21 013 ,Altepexi,"12,309","1,616","1,859","1,736","1,437","1,157",894,751,622,459,437,332,248,231,163,144,80,69,25,18,10,4,17
 21 014 ,Amixtlán,"4,213",573,627,532,444,347,280,230,250,172,180,130,103,101,82,70,34,12,9,3,5,1,28
 21 015 ,Amozoc,"35,738","5,189","5,388","4,971","4,117","3,547","2,777","2,226","1,783","1,302","1,096",858,687,516,402,284,187,132,96,26,19,7,128
 21 016 ,Aquixtla,"7,140","1,099","1,118","1,023",627,507,390,376,316,233,293,252,211,182,172,130,105,59,28,12,4,1,2
 21 017 ,Atempan,"12,696","1,968","2,135","1,877","1,357","1,081",794,702,576,448,459,350,226,226,157,134,77,63,18,14,4,7,23
 21 018 ,Atexcal,"3,259",441,481,457,272,176,165,164,134,130,115,127,109,114,107,83,61,52,37,19,8,3,4
 21 019 ,Atlixco,"104,294","13,533","15,184","14,391","11,855","8,723","7,381","6,418","5,584","4,197","3,644","3,102","2,787","2,235","1,871","1,123",842,586,373,134,77,31,223
 21 020 ,Atoyatempan,"4,512",613,635,624,551,420,310,246,222,178,168,122,105,70,64,49,41,48,21,6,8,2,9
 21 021 ,Atzala,"1,181",150,189,191,136,74,59,57,47,43,42,44,33,34,29,16,14,6,2,1,2,,12
 21 022 ,Atzitzihuacán,"11,193","1,696","1,709","1,713","1,125",832,668,563,515,417,433,354,307,280,204,118,107,76,56,14,4,,2
 21 023 ,Atzitzintla,"6,878","1,065","1,149",971,735,544,400,337,309,221,258,176,182,168,119,91,69,29,24,11,2,5,13
 21 024 ,Axutla,"1,513",136,176,252,180,95,43,37,53,59,76,94,70,56,50,48,40,23,14,4,3,1,3
 21 025 ,Ayotoxco de Guerrero,"6,427","1,022","1,034",962,696,517,402,327,352,250,207,163,128,111,73,54,42,37,14,14,5,3,14
 21 026 ,Calpan,"11,967","1,564","1,765","1,711","1,111",873,775,634,566,442,491,480,412,341,236,159,133,91,71,27,12,1,72
 21 027 ,Caltepec,"5,178",712,761,756,451,279,249,244,234,195,204,198,176,199,167,113,93,60,46,15,6,1,19
 21 028 ,Camocuautla,"1,914",255,304,242,205,159,131,111,110,87,75,65,53,35,23,23,11,10,10,1,1,,3
 21 029 ,Caxhuacan,"3,425",480,501,428,322,230,223,198,231,178,149,137,85,100,36,42,31,16,12,4,1,1,20
 21 030 ,Coatepec,912,114,133,117,105,68,41,40,53,49,54,42,29,20,19,10,15,1,,2,,,
 21 031 ,Coatzingo,"3,375",377,494,561,371,181,141,137,151,152,143,137,111,116,112,69,38,42,18,11,2,6,5
 21 032 ,Cohetzala,"2,085",295,395,402,173,84,98,61,85,83,91,86,51,68,40,24,17,7,13,3,1,2,6
 21 033 ,Cohuecán,"3,928",604,646,572,385,291,268,227,192,141,138,91,120,77,63,37,32,19,14,3,1,3,4
 21 034 ,Coronango,"20,576","2,831","2,972","2,807","2,532","2,043","1,528","1,238",995,773,676,530,442,347,304,162,173,97,65,16,8,2,35
 21 035 ,Coxcatlán,"16,265","2,127","2,275","2,141","1,949","1,423","1,095",922,869,670,618,521,438,363,259,212,136,107,62,41,15,11,11
 21 036 ,Coyomeapan,"9,721","1,411","1,519","1,302",924,759,653,531,533,494,415,284,202,260,118,128,60,67,14,17,8,11,11
 21 037 ,Coyotepec,"2,359",202,274,382,255,108,82,76,93,87,113,104,125,113,107,76,58,46,30,13,10,1,4
 21 038 ,Cuapiaxtla de Madero,"4,706",731,727,658,539,398,294,265,214,165,132,124,106,105,88,54,42,27,21,8,2,,6
 21 039 ,Cuautempan,"7,759","1,166","1,236","1,144",765,516,423,366,390,291,335,295,191,182,147,127,84,38,25,9,7,1,21
 21 040 ,Cuautinchán,"4,947",833,802,691,547,430,316,226,219,172,151,117,115,94,72,57,35,30,15,9,3,,13
 21 041 ,Cuautlancingo,"29,047","3,421","4,041","4,327","3,705","2,732","2,156","1,981","1,819","1,226",813,715,507,401,321,230,164,102,66,25,11,2,282
 21 042 ,Cuayuca de Andrade,"4,027",501,639,605,453,254,172,168,158,147,163,154,147,134,104,75,57,42,24,15,6,3,6
 21 043 ,Cuetzalan del Progreso,"35,676","5,210","5,225","4,680","3,739","2,714","2,296","2,141","2,097","1,520","1,501","1,255",888,757,561,391,323,185,73,55,19,14,32
 21 044 ,Cuyoaco,"12,410","1,883","2,004","2,108","1,264",827,697,627,544,442,459,386,328,242,210,114,105,52,56,24,15,9,14
 21 045 ,Chalchicomula de Sesma,"34,776","4,595","4,930","5,094","4,018","2,738","2,203","1,944","1,733","1,335","1,309","1,096",938,838,682,484,307,245,155,60,26,27,19
 21 046 ,Chapulco,"4,263",707,691,581,460,348,274,226,187,146,133,108,97,87,74,49,36,30,19,3,5,1,1
 21 047 ,Chiautla,"19,324","2,596","3,105","3,098","2,047","1,208","1,008",938,832,692,663,624,623,555,413,290,227,164,111,58,23,8,41
 21 048 ,Chiautzingo,"15,483","2,204","2,304","2,225","1,766","1,312","1,000",859,723,529,485,506,422,298,244,167,157,116,83,38,14,3,28
 21 049 ,Chiconcuautla,"10,799","1,692","1,728","1,498","1,123",823,689,590,558,438,401,321,210,263,140,143,78,64,10,18,4,3,5
 21 050 ,Chichiquila,"16,429","2,726","2,662","2,269","1,710","1,390","1,121",771,826,575,590,440,388,326,197,171,86,77,35,20,8,5,36
 21 051 ,Chietla,"35,540","4,562","5,392","5,716","3,915","2,420","2,120","1,937","1,731","1,327","1,259","1,081","1,025",873,665,481,332,245,139,53,34,23,210
 21 052 ,Chigmecatitlán,"1,165",74,125,144,125,97,59,51,50,46,60,78,58,53,38,44,22,26,12,3,,,
 21 053 ,Chignahuapan,"41,896","6,412","6,560","6,171","4,584","3,448","2,697","2,220","1,962","1,466","1,360","1,158",988,831,666,521,327,227,156,54,18,20,50
 21 054 ,Chignautla,"13,037","1,922","2,130","1,932","1,517","1,137",750,655,629,469,461,370,307,266,167,110,91,56,26,14,10,3,15
 21 055 ,Chila,"4,858",600,742,757,496,284,232,233,183,167,196,181,163,139,140,95,92,76,39,21,10,2,10
 21 056 ,Chila de la Sal,"2,227",296,383,452,171,85,85,88,99,65,91,95,97,66,52,21,28,25,13,7,5,,3
 21 057 ,Chila  Honey,"6,902","1,076","1,127","1,067",794,508,376,334,299,261,227,169,139,147,127,87,69,39,23,12,5,3,13
 21 058 ,Chilchotla,"15,742","2,780","2,877","2,341","1,577","1,163",977,711,687,536,498,356,314,275,188,163,105,77,38,33,17,14,15
 21 059 ,Chinantla,"2,483",261,330,414,284,126,99,115,100,73,123,102,95,83,74,69,61,28,25,6,7,1,7
 21 060 ,Domingo Arenas,"4,438",631,678,700,495,343,290,241,187,152,156,126,116,93,63,42,49,32,26,5,6,2,5
 21 061 ,Eloxochitlán,"8,599","1,436","1,306","1,110",936,722,645,446,529,315,380,218,160,157,64,75,32,32,10,5,4,5,12
 21 062 ,Epatlán,"4,550",702,776,786,433,267,224,205,171,177,152,141,139,128,75,60,36,33,17,16,6,1,5
 21 063 ,Esperanza,"11,662","1,608","1,599","1,560","1,327","1,089",845,616,545,460,415,348,293,284,209,151,113,88,56,19,11,7,19
 21 064 ,Francisco Z. Mena,"16,794","2,442","2,565","2,618","1,823","1,274",999,779,941,703,723,461,358,340,234,209,91,93,51,32,19,12,27
 21 065 ,General Felipe Angeles,"13,037","1,959","2,113","1,970","1,363","1,037",812,673,585,437,488,340,305,286,240,139,102,93,54,17,15,3,6
 21 066 ,Guadalupe,"7,804","1,078","1,271","1,272",846,547,389,359,310,301,281,275,212,183,151,119,87,53,39,15,9,1,6
 21 067 ,Guadalupe Victoria,"12,930","1,836","2,018","1,875","1,416","1,004",771,653,630,458,458,391,381,315,220,182,110,80,46,34,16,11,25
 21 068 ,Hermenegildo Galeana,"7,849","1,294","1,237","1,038",791,634,513,456,464,345,296,223,142,136,94,76,36,35,9,13,1,3,13
 21 069 ,Huaquechula,"27,017","3,980","4,420","4,500","2,783","1,837","1,487","1,350","1,221",980,903,768,750,650,463,293,231,178,124,47,14,6,32
 21 070 ,Huatlatlauca,"9,267","1,203","1,541","1,369",971,745,619,461,397,320,342,264,276,248,177,118,90,52,28,16,8,4,18
 21 071 ,Huauchinango,"69,864","9,554","10,019","9,582","8,222","6,299","5,101","4,379","4,127","2,805","2,447","1,816","1,497","1,281",897,694,468,307,143,82,34,41,69
 21 072 ,Huehuetla,"14,272","1,807","2,179","1,965","1,391","1,088",897,867,883,667,659,538,356,298,227,162,95,92,39,18,9,11,24
 21 073 ,Huehuetlán el Chico,"9,045","1,318","1,545","1,467",947,522,527,441,433,322,302,264,263,215,162,112,88,60,25,14,9,,9
 21 074 ,Huejotzingo,"41,792","5,448","6,006","5,874","5,014","3,997","2,972","2,548","2,094","1,570","1,424","1,201",942,723,570,433,335,259,163,59,28,9,123
 21 075 ,Hueyapan,"7,160","1,087","1,225","1,071",775,575,470,367,375,262,246,169,130,114,98,73,56,24,17,5,3,5,13
 21 076 ,Hueytamalco,"25,494","4,205","3,945","3,629","2,750","2,051","1,695","1,375","1,299",952,955,690,537,454,327,247,161,109,55,23,9,7,19
 21 077 ,Hueytlalpan,"4,757",682,763,618,512,375,338,237,273,213,205,158,84,124,52,56,28,19,6,6,2,1,5
 21 078 ,Huitzilan de Serdán,"8,871","1,435","1,350","1,254",983,653,547,499,478,365,361,247,173,177,111,107,45,41,19,10,1,8,7
 21 079 ,Huitziltepec,"3,856",564,524,533,425,319,235,213,161,135,128,134,117,95,90,60,41,47,25,5,2,1,2
 21 080 ,Ignacio Allende,"2,354",311,364,285,179,143,133,147,197,111,142,105,67,77,34,25,14,12,1,1,1,,5
 21 081 ,Ixcamilpa de Guerrero,"4,540",694,826,763,437,262,219,188,199,141,161,136,142,114,87,44,52,37,10,9,4,3,12
 21 082 ,Ixcaquixtla,"5,775",722,745,868,713,438,308,240,235,223,217,155,198,184,139,111,84,70,65,26,11,10,13
 21 083 ,Ixtacamaxtitlán,"28,405","4,418","4,572","4,389","3,070","1,982","1,494","1,242","1,166","1,060","1,181",901,853,655,491,314,244,157,109,28,16,13,50
 21 084 ,Ixtepec,"5,113",742,692,635,523,416,374,335,321,239,212,192,117,127,54,56,22,39,4,5,1,4,3
 21 085 ,Izúcar de Matamoros,"62,894","8,419","9,516","9,748","7,287","4,394","3,977","3,407","3,007","2,408","2,277","1,889","1,754","1,409","1,116",731,595,417,271,119,50,15,88
 21 086 ,Jalpan,"11,661","1,969","1,973","1,642","1,206",888,770,600,586,421,454,300,239,215,123,105,55,56,22,12,5,9,11
 21 087 ,Jolalpan,"10,355","1,369","1,647","1,570","1,178",844,593,470,440,425,367,291,301,263,177,120,80,55,40,13,9,4,99
 21 088 ,Jonotla,"4,571",672,684,599,435,328,283,229,257,193,195,163,152,106,111,68,44,23,10,7,3,1,8
 21 089 ,Jopala,"12,656","2,131","2,077","1,717","1,243",968,793,716,706,532,455,387,247,261,138,130,59,52,15,14,6,2,7
 21 090 ,Juan C. Bonilla,"11,495","1,474","1,808","1,755","1,356","1,063",791,642,582,424,342,314,248,207,158,102,89,50,49,11,3,2,25
 21 091 ,Juan Galindo,"6,709",734,852,935,829,606,420,439,419,298,267,218,177,177,135,70,55,37,23,8,4,3,3
 21 092 ,Juan N. Méndez,"4,687",666,732,752,440,288,250,206,197,171,189,171,169,152,92,66,63,39,16,11,6,3,8
 21 093 ,Lafragua,"12,365","1,860","2,042","1,913","1,320",936,729,632,592,457,470,333,279,228,187,134,103,75,35,14,9,11,6
 21 094 ,Libres,"20,634","3,120","3,374","3,137","2,181","1,541","1,292","1,093",976,732,681,574,538,403,345,217,151,122,75,29,21,6,26
 21 095 ,La Magdalena Tlatlauquitepec,756,67,87,96,75,79,72,62,39,24,32,29,24,18,16,10,8,3,7,5,2,,1
 21 096 ,Mazapiltepec de Juárez,"2,152",270,325,289,229,152,126,143,90,80,80,72,57,53,59,42,24,25,22,1,7,1,5
 21 097 ,Mixtla,"1,733",228,274,250,177,134,104,85,76,60,74,52,53,55,32,20,24,14,15,1,2,,3
 21 098 ,Molcaxac,"4,008",530,603,595,455,273,232,202,173,175,150,126,114,108,86,77,37,26,27,6,4,,9
 21 099 ,Cañada Morelos,"14,908","2,183","2,196","2,114","1,630","1,209",985,799,621,530,531,446,422,378,282,200,136,111,69,31,12,5,18
 21 100 ,Naupan,"8,900","1,353","1,313","1,256",974,721,596,455,434,336,341,270,212,206,151,109,73,41,19,10,10,8,12
 21 101 ,Nauzontla,"3,734",474,522,568,419,270,191,172,197,158,164,150,110,101,88,63,33,28,16,10,,,
 21 102 ,Nealtican,"8,380","1,270","1,442","1,289",987,730,536,469,335,263,249,203,187,138,94,62,41,37,27,8,1,2,10
 21 103 ,Nicolás Bravo,"4,475",681,736,591,475,381,283,255,195,148,164,121,123,93,73,50,32,25,27,7,6,3,6
 21 104 ,Nopalucan,"13,697","2,116","2,190","2,087","1,534","1,199",888,665,587,459,414,372,275,253,202,155,108,77,53,17,7,8,31
 21 105 ,Ocotepec,"4,699",697,669,786,457,303,229,216,205,178,210,152,139,126,127,71,55,29,28,5,5,4,8
 21 106 ,Ocoyucan,"17,708","2,792","3,049","2,584","2,016","1,528","1,178",865,741,579,557,455,357,304,227,162,120,79,46,18,13,2,36
 21 107 ,Olintla,"11,518","1,687","1,885","1,660","1,044",777,679,694,690,529,514,465,237,252,123,129,59,53,12,9,,,20
 21 108 ,Oriental,"11,590","1,630","1,856","1,752","1,236",936,828,666,545,400,377,297,276,257,168,136,102,52,33,25,4,1,13
 21 109 ,Pahuatlán,"16,356","2,362","2,502","2,236","1,710","1,255","1,013",788,862,663,690,533,387,398,305,282,154,107,46,23,14,8,18
 21 110 ,Palmar de Bravo,"26,947","4,369","4,350","3,873","2,937","2,235","1,702","1,361","1,170",837,816,709,641,658,412,298,206,167,102,47,20,14,23
 21 111 ,Pantepec,"17,745","2,693","2,742","2,523","1,801","1,316","1,082",986,"1,019",779,772,527,365,344,221,215,118,101,50,35,11,16,29
 21 112 ,Petlalcingo,"9,480","1,295","1,457","1,456",955,596,507,386,407,379,389,379,306,264,190,160,130,120,66,17,6,7,8
 21 113 ,Piaxtla,"6,186",724,"1,015","1,123",679,295,220,244,268,220,254,248,199,195,144,118,91,64,46,19,6,2,12
 21 114 ,Puebla,"1,057,454","112,828","120,753","124,616","130,702","117,404","92,892","78,444","66,137","49,486","39,292","30,921","24,966","21,103","15,724","10,665","7,425","4,801","3,028","1,141",451,175,"4,500"
 21 115 ,Quecholac,"29,096","4,674","4,694","4,285","3,378","2,496","1,889","1,526","1,247",954,899,744,605,471,394,305,198,138,99,32,26,13,29
 21 116 ,Quimixtlán,"16,598","2,794","2,683","2,334","1,773","1,378","1,058",781,777,611,552,449,365,329,235,178,100,93,38,22,12,13,23
 21 117 ,Rafael Lara Grajales,"11,443","1,604","1,693","1,674","1,308","1,027",844,727,565,426,389,281,251,200,158,108,64,50,34,20,9,4,7
 21 118 ,Los Reyes de Juárez,"15,802","2,457","2,632","2,240","1,765","1,323","1,018",885,751,570,427,360,296,291,236,200,130,106,64,21,13,5,12
 21 119 ,San Andrés Cholula,"37,788","4,661","5,370","5,182","4,880","3,999","2,784","2,390","1,989","1,482","1,258",974,752,635,488,334,251,150,111,42,10,3,43
 21 120 ,San Antonio Cañada,"3,208",504,524,431,345,277,232,162,175,119,106,64,59,68,50,39,20,14,11,1,1,2,4
 21 121 ,San Diego la Mesa Tochimiltzingo,"1,145",173,198,172,111,65,73,42,63,47,33,36,36,32,22,17,10,9,2,1,1,1,1
 21 122 ,San Felipe Teotlalcingo,"7,719","1,039","1,177","1,072",861,644,523,396,366,292,236,221,238,182,173,88,78,56,39,18,8,2,10
 21 123 ,San Felipe Tepatlán,"4,680",768,682,600,472,384,335,261,293,193,181,130,96,104,67,48,25,16,12,2,6,2,3
 21 124 ,San Gabriel Chilac,"10,438","1,284","1,570","1,432","1,098",847,678,567,549,402,400,388,286,283,203,156,104,86,53,11,11,5,25
 21 125 ,San Gregorio Atzompa,"5,593",681,707,728,677,494,426,367,328,240,230,188,156,133,72,51,51,25,16,5,5,,13
 21 126 ,San Jerónimo Tecuanipan,"4,496",663,729,687,456,358,277,261,202,149,135,137,104,88,77,58,51,38,12,8,1,2,3
 21 127 ,San Jerónimo Xayacatlán,"3,786",483,548,557,315,166,199,184,149,130,170,178,156,162,135,88,59,44,40,16,4,1,2
 21 128 ,San José Chiapa,"5,613",821,936,896,547,412,342,292,248,224,207,147,152,108,87,60,62,33,15,7,4,3,10
 21 129 ,San José Miahuatlán,"9,740","1,318","1,631","1,474","1,022",687,621,521,487,348,373,257,252,224,159,153,69,66,35,18,6,1,18
 21 130 ,San Juan Atenco,"3,366",426,432,472,369,230,198,176,185,123,118,129,125,95,96,66,63,27,22,7,1,1,5
 21 131 ,San Juan Atzompa,591,95,82,81,58,52,39,27,20,12,21,22,25,18,12,8,7,8,2,1,,1,
 21 132 ,San Martín Texmelucan,"94,471","11,635","12,723","12,838","11,514","9,395","7,257","6,356","5,229","3,856","3,198","2,547","2,096","1,739","1,291",935,689,492,289,125,61,32,174
 21 133 ,San Martín Totoltepec,676,86,121,121,71,35,31,24,39,26,22,18,18,14,19,5,8,5,4,3,,1,5
 21 134 ,San Matías Tlalancaleca,"13,153","1,666","1,798","1,842","1,643","1,236",896,762,639,465,398,404,338,274,244,167,131,97,86,26,13,5,23
 21 135 ,San Miguel Ixitlán,748,62,94,113,77,53,21,36,30,25,41,31,38,22,34,19,21,11,13,6,1,,
 21 136 ,San Miguel Xoxtla,"7,478",943,976,"1,056","1,023",745,604,501,410,299,262,149,125,106,79,56,58,16,24,4,5,1,36
 21 137 ,San Nicolás Buenos Aires,"7,107","1,144","1,073","1,046",833,587,439,336,301,221,242,158,185,148,108,91,97,39,28,14,9,4,4
 21 138 ,San Nicolás de los Ranchos,"9,800","1,198","1,470","1,464","1,022",683,587,464,484,384,412,363,344,272,227,137,121,72,55,18,10,6,7
