"UNIDADES DE PRODUCCIÓN RURALES CON CULTIVO PRINCIPAL ANUAL, SEGÚN CICLO DE CULTIVO, ",,,,,,CUADRO 8B,,,,,
"SUPERFICIE SEMBRADA, COSECHADA Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ",,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,,,,,,
,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,CICLO,,,,,,,,
,,, OTOÑO-INVIERNO,,,,,,,,
,COATZINTLA,,*,  4.50,  1.50,  0.07,,,,,
,COMAPA,,  11,  11.00,  11.00,  6.40,,,,,
,COSOLEACAQUE,,-,-,-,-,,,,,
,COTAXTLA,,  3,  5.50,  5.50,  3.10,,,,,
,COXQUIHUI,,  21,  27.25,  9.25,  3.34,,,,,
,COYUTLA,,-,-,-,-,,,,,
,CUITLAHUAC,,-,-,-,-,,,,,
,CHALMA,,*,  2.75,-,-,,,,,
,CHICONAMEL,,*,  0.50,  0.50,  0.45,,,,,
,CHICONTEPEC,,  15,  18.25,  10.08,  1.95,,,,,
,CHINAMECA,,*,  1.00,  1.00,  1.00,,,,,
,CHINAMPA DE GOROSTIZA,,*,  2.00,  0.50,  0.25,,,,,
,"CHOAPAS, LAS",,  5,  4.08,  2.08,  1.11,,,,,
,CHONTLA,,*,  1.25,  0.25,  0.13,,,,,
,CHUMATLAN,,-,-,-,-,,,,,
,ESPINAL,,  8,  6.25,  6.25,  1.86,,,,,
,GUTIERREZ ZAMORA,,*,  0.50,  0.50,  0.10,,,,,
,HIDALGOTITLAN,,-,-,-,-,,,,,
,IGNACIO DE LA LLAVE,,-,-,-,-,,,,,
,ISLA,,-,-,-,-,,,,,
,IXCATEPEC,,-,-,-,-,,,,,
,IXHUATLAN DEL SURESTE,,*,  1.00,  1.00,  0.50,,,,,
,IXHUATLAN DE MADERO,,  10,  13.25,  12.00,  2.64,,,,,
,JALCOMULCO,,-,-,-,-,,,,,
,JALTIPAN,,-,-,-,-,,,,,
,JAMAPA,,-,-,-,-,,,,,
,JESUS CARRANZA,,  3,  1.00,  0.75,  0.38,,,,,
,JUAN RODRIGUEZ CLARA,,-,-,-,-,,,,,
,MANLIO FABIO ALTAMIRANO,,-,-,-,-,,,,,
,MEDELLIN,,  15,  26.50,  25.50,  14.65,,,,,
,MINATITLAN,,*,  0.25,  0.25,  0.33,,,,,
,MOLOACAN,,-,-,-,-,,,,,
,OMEALCA,,*,  1.00,  1.00,  0.50,,,,,
,OZULUAMA,,*,  2.00,  1.50,  1.00,,,,,
,PAJAPAN,,-,-,-,-,,,,,
,PANUCO,,-,-,-,-,,,,,
,PAPANTLA,,  54,  55.30,  49.30,  24.33,,,,,
,PASO DEL MACHO,,-,-,-,-,,,,,
,PASO DE OVEJAS,,-,-,-,-,,,,,
,PLATON SANCHEZ,,  8,  13.00,  4.00,  2.02,,,,,
,PLAYA VICENTE,,  7,  12.25,  12.25,  7.20,,,,,
,PUEBLO VIEJO,,*,  5.00,  5.00,  1.00,,,,,
,PUENTE NACIONAL,,-,-,-,-,,,,,
,SAN ANDRES TUXTLA,,-,-,-,-,,,,,
,SAYULA DE ALEMAN,,-,-,-,-,,,,,
,SOLEDAD DE DOBLADO,,*,  0.50,  0.50,  0.10,,,,,
,TAMALIN,,-,-,-,-,,,,,
,TAMIAHUA,,*,  3.00,  1.25,  0.53,,,,,
,TAMPICO ALTO,,  13,  26.00,  21.00,  15.31,,,,,
,TANCOCO,,-,-,-,-,,,,,
,TANTIMA,,*,  0.50,  0.50,  0.04,,,,,
,TANTOYUCA,,  11,  6.13,  5.63,  0.91,,,,,
,CASTILLO DE TEAYO,,*,  1.00,  0.25,  0.07,,,,,
,TECOLUTLA,,-,-,-,-,,,,,
,TEMAPACHE,,  4,  5.50,  3.50,  1.13,,,,,
,TEMPOAL,,*,  1.00,  1.00,  0.25,,,,,
,TEPETZINTLA,,-,-,-,-,,,,,
,TEZONAPA,,-,-,-,-,,,,,
,TIERRA BLANCA,,*,  1.25,  1.25,  0.80,,,,,
,TIHUATLAN,,  5,  7.25,  2.50,  1.18,,,,,
,TLACHICHILCO,,*,  1.75,  1.50,  0.07,,,,,
,TLALIXCOYAN,,-,-,-,-,,,,,
,TLAPACOYAN,,-,-,-,-,,,,,
,TUXPAM,,*,  1.00,  1.00,  0.60,,,,,
,URSULO GALVAN,,-,-,-,-,,,,,
,VEGA DE ALATORRE,,-,-,-,-,,,,,
,VERACRUZ,,  6,  24.50,  11.50,  6.80,,,,,
,ZENTLA,,-,-,-,-,,,,,
,ZONTECOMATLAN,,-,-,-,-,,,,,
,ZOZOCOLCO DE HIDALGO,,  8,  8.00,  8.00,  0.68,,,,,
,AGUA DULCE,,*,  0.50,  0.25,  0.20,,,,,
,"HIGO, EL",,-,-,-,-,,,,,
,NANCHITAL DE LAZARO CARDENAS DEL R.,,*,  0.50,  0.50,  0.65,,,,,
,TRES VALLES,,*,  1.00,  1.00,  0.30,,,,,
YUCATAN,,,*,  0.04,  0.04,  0.00,,,,,
,CHUMAYEL,,-,-,-,-,,,,,
,MAMA,,-,-,-,-,,,,,
,MAXCANU,,-,-,-,-,,,,,
,MERIDA,,*,  0.04,  0.04,  0.00,,,,,
,PETO,,-,-,-,-,,,,,
,TEKIT,,-,-,-,-,,,,,
,TIZIMIN,,-,-,-,-,,,,,
ALGODON,,,,,,,,,,,
ESTADOS UNIDOS MEXICANOS,,, 1 230, 63 270.15, 60 395.90, 104 620.11,,,,,
AGUASCALIENTES,,,-,-,-,-,,,,,
,AGUASCALIENTES,,-,-,-,-,,,,,
BAJA CALIFORNIA,,,  25,  413.00,  413.00,  932.63,,,,,
,ENSENADA,,-,-,-,-,,,,,
,MEXICALI,,  25,  413.00,  413.00,  932.63,,,,,
BAJA CALIFORNIA SUR,,,  48,  402.00,  400.19, 1 226.52,,,,,
,COMONDU,,  4,  54.00,  54.00,  105.00,,,,,
,MULEGE,,*,  6.00,  6.00,  10.00,,,,,
,"PAZ, LA",,  43,  342.00,  340.19, 1 111.52,,,,,
,"CABOS, LOS",,-,-,-,-,,,,,
CAMPECHE,,,-,-,-,-,,,,,
,CAMPECHE,,-,-,-,-,,,,,
,HOPELCHEN,,-,-,-,-,,,,,
COAHUILA,,,  8,  18.68,  14.68,  31.80,,,,,
,ACUÑA,,-,-,-,-,,,,,
,CUATROCIENEGAS,,-,-,-,-,,,,,
,FRANCISCO I. MADERO,,-,-,-,-,,,,,
,MATAMOROS,,  6,  13.68,  9.68,  20.80,,,,,
,SAN PEDRO,,-,-,-,-,,,,,
,TORREON,,*,  5.00,  5.00,  11.00,,,,,
,VIESCA,,-,-,-,-,,,,,
,ZARAGOZA,,-,-,-,-,,,,,
CHIAPAS,,,-,-,-,-,,,,,
,CHALCHIHUITAN,,-,-,-,-,,,,,
,CHILON,,-,-,-,-,,,,,
,FRONTERA COMALAPA,,-,-,-,-,,,,,
,FRONTERA HIDALGO,,-,-,-,-,,,,,
,MAZATAN,,-,-,-,-,,,,,
,OCOSINGO,,-,-,-,-,,,,,
,SUCHIATE,,-,-,-,-,,,,,
,TAPACHULA,,-,-,-,-,,,,,
,TILA,,-,-,-,-,,,,,
CHIHUAHUA,,,-,-,-,-,,,,,
,AHUMADA,,-,-,-,-,,,,,
,ALDAMA,,-,-,-,-,,,,,
,ALLENDE,,-,-,-,-,,,,,
,ASCENSION,,-,-,-,-,,,,,
,BUENAVENTURA,,-,-,-,-,,,,,
,CAMARGO,,-,-,-,-,,,,,
,CASAS GRANDES,,-,-,-,-,,,,,
,COYAME,,-,-,-,-,,,,,
,"CRUZ, LA",,-,-,-,-,,,,,
,CUAUHTEMOC,,-,-,-,-,,,,,
,CHIHUAHUA,,-,-,-,-,,,,,
,DELICIAS,,-,-,-,-,,,,,
,GALEANA,,-,-,-,-,,,,,
,GUADALUPE,,-,-,-,-,,,,,
,JANOS,,-,-,-,-,,,,,
,JIMENEZ,,-,-,-,-,,,,,
,JUAREZ,,-,-,-,-,,,,,
,JULIMES,,-,-,-,-,,,,,
,MANUEL BENAVIDES,,-,-,-,-,,,,,
,MEOQUI,,-,-,-,-,,,,,
,NUEVO CASAS GRANDES,,-,-,-,-,,,,,
,OJINAGA,,-,-,-,-,,,,,
,PRAXEDIS G. GUERRERO,,-,-,-,-,,,,,
,ROSALES,,-,-,-,-,,,,,
,SAUCILLO,,-,-,-,-,,,,,
DISTRITO FEDERAL,,,-,-,-,-,,,,,
,XOCHIMILCO,,-,-,-,-,,,,,
DURANGO,,,  21,  39.00,  38.00,  61.40,,,,,
,GOMEZ PALACIO,,  17,  29.50,  28.50,  47.05,,,,,
,LERDO,,  3,  8.00,  8.00,  11.00,,,,,
,MAPIMI,,*,  1.50,  1.50,  3.35,,,,,
,NAZAS,,-,-,-,-,,,,,
,SANTIAGO PAPASQUIARO,,-,-,-,-,,,,,
,TLAHUALILO,,-,-,-,-,,,,,
GUANAJUATO,,,-,-,-,-,,,,,
,ALLENDE,,-,-,-,-,,,,,
,IRAPUATO,,-,-,-,-,,,,,
,SALAMANCA,,-,-,-,-,,,,,
,SAN FRANCISCO DEL RINCON,,-,-,-,-,,,,,
,XICHU,,-,-,-,-,,,,,
GUERRERO,,,*,  1.00,  1.00,  2.05,,,,,
,ARCELIA,,-,-,-,-,,,,,
,COYUCA DE CATALAN,,-,-,-,-,,,,,
,CUAJINICUILAPA,,-,-,-,-,,,,,
,IGUALA DE LA INDEPENDENCIA,,*,  1.00,  1.00,  2.05,,,,,
,IGUALAPA,,-,-,-,-,,,,,
,OMETEPEC,,-,-,-,-,,,,,
,SAN LUIS ACATLAN,,-,-,-,-,,,,,
,ZIRANDARO,,-,-,-,-,,,,,
HIDALGO,,,-,-,-,-,,,,,
,CUAUTEPEC DE HINOJOSA,,-,-,-,-,,,,,
,HUICHAPAN,,-,-,-,-,,,,,
,SINGUILUCAN,,-,-,-,-,,,,,
,TEPEAPULCO,,-,-,-,-,,,,,
,ZEMPOALA,,-,-,-,-,,,,,
JALISCO,,,-,-,-,-,,,,,
,,ARANDAS,-,-,-,-,,,,,
,,JESUS MARIA,-,-,-,-,,,,,
MEXICO,,,-,-,-,-,,,,,
,ACAMBAY,,-,-,-,-,,,,,
,IXTAPALUCA,,-,-,-,-,,,,,
,JILOTEPEC,,-,-,-,-,,,,,
,JUCHITEPEC,,-,-,-,-,,,,,
,MORELOS,,-,-,-,-,,,,,
,OTUMBA,,-,-,-,-,,,,,
,POLOTITLAN,,-,-,-,-,,,,,
,SAN FELIPE DEL PROGRESO,,-,-,-,-,,,,,
,TECAMAC,,-,-,-,-,,,,,
,TEMASCALAPA,,-,-,-,-,,,,,
,TEMASCALCINGO,,-,-,-,-,,,,,
,TEMASCALTEPEC,,-,-,-,-,,,,,
,TEPETLAOXTOC,,-,-,-,-,,,,,
MICHOACAN,,,-,-,-,-,,,,,
,COENEO,,-,-,-,-,,,,,
,CONTEPEC,,-,-,-,-,,,,,
,MARAVATIO,,-,-,-,-,,,,,
,PURUANDIRO,,-,-,-,-,,,,,
,TANGANCICUARO,,-,-,-,-,,,,,
,ZAMORA,,-,-,-,-,,,,,
NUEVO LEON,,,*,  3.75,  3.75,  1.62,,,,,
,ARAMBERRI,,-,-,-,-,,,,,
,CHINA,,-,-,-,-,,,,,
,GARCIA,,-,-,-,-,,,,,
,LINARES,,*,  3.75,  3.75,  1.62,,,,,
OAXACA,,,-,-,-,-,,,,,
,ASUNCION NOCHIXTLAN,,-,-,-,-,,,,,
,SAN MIGUEL EL GRANDE,,-,-,-,-,,,,,
,SANTA MARIA APAZCO,,-,-,-,-,,,,,
,SANTA MARIA COLOTEPEC,,-,-,-,-,,,,,
,SANTO DOMINGO TEHUANTEPEC,,-,-,-,-,,,,,
PUEBLA,,,-,-,-,-,,,,,
,CHILCHOTLA,,-,-,-,-,,,,,
,NOPALUCAN,,-,-,-,-,,,,,
,PALMAR DE BRAVO,,-,-,-,-,,,,,
,SAN SALVADOR EL SECO,,-,-,-,-,,,,,
,TLAHUAPAN,,-,-,-,-,,,,,
,TUZAMAPAN DE GALEANA,,-,-,-,-,,,,,
,VICENTE GUERRERO,,-,-,-,-,,,,,
,XAYACATLAN DE BRAVO,,-,-,-,-,,,,,
,ZOQUITLAN,,-,-,-,-,,,,,
QUERETARO,,,-,-,-,-,,,,,
,EZEQUIEL MONTES,,-,-,-,-,,,,,
QUINTANA ROO,,,-,-,-,-,,,,,
,FELIPE CARRILLO PUERTO,,-,-,-,-,,,,,
SAN LUIS POTOSI,,,*,  21.00,  1.00,  0.50,,,,,
,CIUDAD DEL MAIZ,,-,-,-,-,,,,,
,EBANO,,-,-,-,-,,,,,
,RIOVERDE,,*,  1.00,  1.00,  0.50,,,,,
,TAMUIN,,*,  20.00,-,-,,,,,
,VILLA DE ARRIAGA,,-,-,-,-,,,,,
SINALOA,,,  277, 3 026.65, 2 621.65, 4 439.37,,,,,
,AHOME,,  14,  100.50,  87.50,  153.00,,,,,
,ANGOSTURA,,-,-,-,-,,,,,
,ELOTA,,-,-,-,-,,,,,
,"FUERTE, EL",,  14,  337.00,  37.00,  55.80,,,,,
,GUASAVE,,  218, 2 395.65, 2 342.65, 3 934.53,,,,,
,MOCORITO,,-,-,-,-,,,,,
,SALVADOR ALVARADO,,*,  20.00,-,-,,,,,
,SINALOA,,  18,  132.00,  120.00,  236.51,,,,,
,NAVOLATO,,  12,  41.50,  34.50,  59.53,,,,,
SONORA,,,  24,  463.65,  454.65,  852.25,,,,,
,ALAMOS,,-,-,-,-,,,,,
,ALTAR,,*,  80.00,  80.00,  94.00,,,,,
,ATIL,,-,-,-,-,,,,,
,BACUM,,*,  65.00,  65.00,  135.00,,,,,
,BAVISPE,,-,-,-,-,,,,,
,CABORCA,,*,  120.00,  120.00,  157.00,,,,,
,CAJEME,,  5,  46.00,  46.00,  138.68,,,,,
,EMPALME,,*,  25.00,  25.00,  75.00,,,,,
,ETCHOJOA,,  4,  38.00,  33.00,  114.57,,,,,
,GUAYMAS,,*,  15.00,  15.00,  16.00,,,,,
,HERMOSILLO,,-,-,-,-,,,,,
,HUATABAMPO,,  3,  9.65,  5.65,  15.00,,,,,
,HUEPAC,,-,-,-,-,,,,,
,IMURIS,,-,-,-,-,,,,,
,MAGDALENA,,-,-,-,-,,,,,
,NAVOJOA,,*,  55.00,  55.00,  84.00,,,,,
,ONAVAS,,-,-,-,-,,,,,
,OPODEPE,,-,-,-,-,,,,,
,OQUITOA,,-,-,-,-,,,,,
,PITIQUITO,,-,-,-,-,,,,,
,PUERTO PEÑASCO,,-,-,-,-,,,,,
,QUIRIEGO,,-,-,-,-,,,,,
,RAYON,,-,-,-,-,,,,,
,SAN LUIS RIO COLORADO,,-,-,-,-,,,,,
,SANTA ANA,,-,-,-,-,,,,,
,SUAQUI GRANDE,,-,-,-,-,,,,,
,TRINCHERAS,,*,  6.00,  6.00,  12.00,,,,,
,GENERAL PLUTARCO ELIAS CALLES,,*,  4.00,  4.00,  11.00,,,,,
TAMAULIPAS,,,  821, 58 811.42, 56 377.98, 96 958.03,,,,,
,ABASOLO,,  3,  65.00,  65.00,  120.00,,,,,
,ALDAMA,,  16, 2 599.67, 2 599.25, 6 788.71,,,,,
,ALTAMIRA,,  6, 2 598.00, 2 598.00, 5 725.30,,,,,
,CAMARGO,,  14,  419.00,  419.00, 1 081.00,,,,,
,CASAS,,*,  3.50,  2.00,  0.80,,,,,
,GOMEZ FARIAS,,*,  45.00,  45.00,  90.00,,,,,
,GONZALEZ,,  15, 1 684.00, 1 684.00, 2 765.48,,,,,
,GÜEMEZ,,-,-,-,-,,,,,
,GUSTAVO DIAZ ORDAZ,,  76, 1 023.97,  996.27, 1 821.40,,,,,
,HIDALGO,,-,-,-,-,,,,,
,JIMENEZ,,-,-,-,-,,,,,
,"MANTE,EL",,  58, 1 955.00, 1 946.50, 3 893.46,,,,,
,MATAMOROS,,  98, 5 281.87, 4 988.87, 9 410.16,,,,,
,MENDEZ,,  9, 3 493.50, 3 028.50, 3 107.00,,,,,
,MIGUEL ALEMAN,,  14, 1 269.00, 1 169.00, 1 513.42,,,,,
,PADILLA,,-,-,-,-,,,,,
,REYNOSA,,  79, 7 163.28, 7 136.78, 9 927.40,,,,,
,RIO BRAVO,,  295, 21 406.07, 21 384.92, 38 826.56,,,,,
,SAN CARLOS,,*,  79.00,  79.00,  180.00,,,,,
,SAN FERNANDO,,  62, 6 658.06, 5 178.39, 5 469.50,,,,,
,SOTO LA MARINA,,*,  10.00,  10.00,  7.00,,,,,
,VALLE HERMOSO,,  69, 3 044.50, 3 034.50, 6 219.34,,,,,
,VILLAGRAN,,-,-,-,-,,,,,
,XICOTENCATL,,*,  13.00,  13.00,  11.50,,,,,
TLAXCALA,,,-,-,-,-,,,,,
,HUAMANTLA,,-,-,-,-,,,,,
,HUEYOTLIPAN,,-,-,-,-,,,,,
,IXTACUIXTLA DE MARIANO MATAMOROS,,-,-,-,-,,,,,
,NANACAMILPA DE MARIANO ARISTA,,-,-,-,-,,,,,
,TETLA,,-,-,-,-,,,,,
,TLAXCO,,-,-,-,-,,,,,
,ZITLALTEPEC DE TRINIDAD SANCHEZ S.,,-,-,-,-,,,,,
VERACRUZ,,,*,  70.00,  70.00,  113.94,,,,,
,PANUCO,,*,  70.00,  70.00,  113.94,,,,,
ZACATECAS,,,-,-,-,-,,,,,
,FRESNILLO,,-,-,-,-,,,,,
,PINOS,,-,-,-,-,,,,,
,TLALTENANGO DE SANCHEZ ROMAN,,-,-,-,-,,,,,
,VALPARAISO,,-,-,-,-,,,,,
ARROZ,,,,,,,,,,,
ESTADOS UNIDOS MEXICANOS,,, 3 868, 22 737.78, 21 834.44, 56 693.71,,,,,
AGUASCALIENTES,,,-,-,-,-,,,,,
,JESUS MARIA,,-,-,-,-,,,,,
BAJA CALIFORNIA,,,-,-,-,-,,,,,
,ENSENADA,,-,-,-,-,,,,,
,MEXICALI,,-,-,-,-,,,,,
CAMPECHE,,,  91, 8 538.00, 8 348.00, 13 210.04,,,,,
,CAMPECHE,,*,  6.00,-,-,,,,,
,CARMEN,,  30, 3 172.25, 3 078.25, 1 814.24,,,,,
,CHAMPOTON,,  18,  51.75,  45.75,  63.97,,,,,
,HOPELCHEN,,  6,  6.00,  5.00,  1.79,,,,,
,PALIZADA,,  10, 5 253.00, 5 170.00, 11 244.38,,,,,
,ESCARCEGA,,  26,  49.00,  49.00,  85.66,,,,,
COAHUILA,,,-,-,-,-,,,,,
,ARTEAGA,,-,-,-,-,,,,,
,JIMENEZ,,-,-,-,-,,,,,
,SAN PEDRO,,-,-,-,-,,,,,
COLIMA,,,  30,  386.00,  382.75, 1 674.84,,,,,
,COLIMA,,  5,  65.50,  65.50,  299.73,,,,,
,COMALA,,-,-,-,-,,,,,
,COQUIMATLAN,,  11,  190.50,  190.50,  860.11,,,,,
,CUAUHTEMOC,,-,-,-,-,,,,,
,MANZANILLO,,-,-,-,-,,,,,
,TECOMAN,,  14,  130.00,  126.75,  515.00,,,,,
CHIAPAS,,, 1 001, 1 147.56,  909.22,  671.08,,,,,
,ACACOYAGUA,,  18,  17.06,  15.06,  27.71,,,,,
,ACAPETAHUA,,  18,  20.75,  15.75,  21.95,,,,,
,ALTAMIRANO,,-,-,-,-,,,,,
,AMATAN,,  190,  334.25,  273.30,  101.08,,,,,
,CATAZAJA,,  12,  21.75,  9.40,  10.57,,,,,
,CINTALAPA,,*,  1.00,  1.00,  0.50,,,,,
,"CONCORDIA, LA",,*,  3.00,  2.00,  2.00,,,,,
,COPAINALA,,-,-,-,-,,,,,
,CHAPULTENANGO,,  12,  15.00,  10.50,  3.43,,,,,
,CHICOMUSELO,,-,-,-,-,,,,,
,ESCUINTLA,,  23,  47.75,  32.50,  55.80,,,,,
,FRANCISCO LEON,,  57,  41.61,  34.12,  42.77,,,,,
,FRONTERA COMALAPA,,-,-,-,-,,,,,
,HUEHUETAN,,  3,  3.25,  2.25,  0.60,,,,,
,HUITIUPAN,,-,-,-,-,,,,,
,HUIXTLA,,*,  1.00,  1.00,  1.50,,,,,
,IXHUATAN,,-,-,-,-,,,,,
,IXTACOMITAN,,  5,  15.25,  15.25,  0.61,,,,,
,IXTAPANGAJOYA,,  49,  66.83,  24.33,  16.88,,,,,
,JUAREZ,,  75,  95.50,  84.33,  56.87,,,,,
,MAPASTEPEC,,*,  1.50,  1.50,  0.30,,,,,
,"MARGARITAS, LAS",,  8,  4.00,  4.00,  2.42,,,,,
,OCOSINGO,,  20,  17.25,  14.00,  15.24,,,,,
,OCOZOCOAUTLA DE ESPINOSA,,  4,  1.50,  1.50,  2.33,,,,,
,OSTUACAN,,  196,  188.82,  159.51,  134.09,,,,,
,PALENQUE,,  16,  33.00,  26.06,  23.55,,,,,
,PICHUCALCO,,  11,  11.25,  10.00,  8.29,,,,,
,PIJIJIAPAN,,*,  0.25,  0.25,  0.50,,,,,
,VILLA COMALTITLAN,,*,  2.00,  1.00,  2.00,,,,,
,PUEBLO NUEVO SOLISTAHUACAN,,-,-,-,-,,,,,
,REFORMA,,  5,  3.75,  3.25,  3.58,,,,,
,SABANILLA,,  9,  6.36,  4.86,  6.16,,,,,
,SALTO DE AGUA,,  107,  67.25,  65.58,  56.33,,,,,
,SOLOSUCHIAPA,,-,-,-,-,,,,,
,SUCHIATE,,-,-,-,-,,,,,
,SUNUAPA,,  19,  12.50,  8.88,  11.35,,,,,
,TAPACHULA,,*,  0.75,  0.75,  2.00,,,,,
,TAPILULA,,-,-,-,-,,,,,
,TECPATAN,,  43,  50.00,  29.30,  15.58,,,,,
,TILA,,  90,  61.50,  57.12,  44.01,,,,,
,TONALA,,-,-,-,-,,,,,
,"TRINITARIA, LA",,-,-,-,-,,,,,
,TUMBALA,,-,-,-,-,,,,,
,TUXTLA GUTIERREZ,,-,-,-,-,,,,,
,TUXTLA CHICO,,*,  1.50,  0.50,  0.28,,,,,
,TUZANTAN,,*,  0.38,  0.38,  0.80,,,,,
,VILLA CORZO,,-,-,-,-,,,,,
GUANAJUATO,,,-,-,-,-,,,,,
,HUANIMARO,,-,-,-,-,,,,,
,IRAPUATO,,-,-,-,-,,,,,
,VALLE DE SANTIAGO,,-,-,-,-,,,,,
GUERRERO,,,  55,  116.43,  93.68,  309.99,,,,,
,ACAPULCO DE JUAREZ,,-,-,-,-,,,,,
,AJUCHITLAN DEL PROGRESO,,*,  5.00,  5.00,  3.00,,,,,
,ALPOYECA,,*,  1.50,  1.50,  5.00,,,,,
,ATOYAC DE ALVAREZ,,*,  7.00,  2.00,  3.00,,,,,
,AYUTLA DE LOS LIBRES,,*,  1.00,  1.00,  1.50,,,,,
,BENITO JUAREZ,,*,  3.00,  0.50,  0.43,,,,,
,COAHUAYUTLA DE JOSE MARIA IZAZAGA,,-,-,-,-,,,,,
,COCULA,,*,  4.00,  4.00,  5.10,,,,,
,COPALA,,-,-,-,-,,,,,
,COYUCA DE BENITEZ,,*,  1.00,  1.00,  0.04,,,,,
,CUAJINICUILAPA,,-,-,-,-,,,,,
,CUAUTEPEC,,-,-,-,-,,,,,
,CHILPANCINGO DE LOS BRAVO,,-,-,-,-,,,,,
,FLORENCIO VILLARREAL,,*,  4.00,  4.00,  1.00,,,,,
,GENERAL HELIODORO CASTILLO,,-,-,-,-,,,,,
,HUAMUXTITLAN,,  22,  50.00,  40.00,  241.20,,,,,
,IGUALA DE LA INDEPENDENCIA,,*,  6.00,  5.00,  5.00,,,,,
,JOSE AZUETA,,-,-,-,-,,,,,
,JUAN R. ESCUDERO,,-,-,-,-,,,,,
,MOCHITLAN,,-,-,-,-,,,,,
,OMETEPEC,,-,-,-,-,,,,,
,PETATLAN,,*,  4.00,  4.00,  0.36,,,,,
,PILCAYA,,  4,  2.60,  2.60,  10.25,,,,,
,QUECHULTENANGO,,-,-,-,-,,,,,
,SAN LUIS ACATLAN,,  6,  4.83,  4.83,  1.32,,,,,
,SAN MARCOS,,-,-,-,-,,,,,
,SAN MIGUEL TOTOLAPAN,,*,  10.00,  10.00,  7.00,,,,,
,TECOANAPA,,*,  1.00,  1.00,  0.80,,,,,
,TECPAN DE GALEANA,,  3,  6.00,  3.00,  2.50,,,,,
,TLACOACHISTLAHUACA,,-,-,-,-,,,,,
,TLACOAPA,,-,-,-,-,,,,,
,TLALIXTAQUILLA DE MALDONADO,,-,-,-,-,,,,,
,TLAPA DE COMONFORT,,  5,  5.50,  4.25,  22.50,,,,,
,XALPATLAHUAC,,-,-,-,-,,,,,
,XOCHISTLAHUACA,,-,-,-,-,,,,,
,ZAPOTITLAN TABLAS,,-,-,-,-,,,,,
,ZIRANDARO,,-,-,-,-,,,,,
HIDALGO,,,-,-,-,-,,,,,
,CUAUTEPEC DE HINOJOSA,,-,-,-,-,,,,,
,CHAPANTONGO,,-,-,-,-,,,,,
,EPAZOYUCAN,,-,-,-,-,,,,,
,HUAZALINGO,,-,-,-,-,,,,,
,METEPEC,,-,-,-,-,,,,,
,MINERAL DE LA REFORMA,,-,-,-,-,,,,,
,SAN AGUSTIN TLAXIACA,,-,-,-,-,,,,,
,SANTIAGO TULANTEPEC DE LUGO GUERRERO,,-,-,-,-,,,,,
,TLANCHINOL,,-,-,-,-,,,,,
,TOLCAYUCA,,-,-,-,-,,,,,
,TULANCINGO DE BRAVO,,-,-,-,-,,,,,
,ZEMPOALA,,-,-,-,-,,,,,
JALISCO,,,  68,  530.25,  514.62, 1 771.88,,,,,
,AMATITAN,,-,-,-,-,,,,,
,AUTLAN DE NAVARRO,,-,-,-,-,,,,,
,CUQUIO,,-,-,-,-,,,,,
,ENCARNACION DE DIAZ,,-,-,-,-,,,,,
,"GRULLO, EL",,-,-,-,-,,,,,
,GUACHINANGO,,-,-,-,-,,,,,
,LAGOS DE MORENO,,-,-,-,-,,,,,
,"LIMON, EL",,-,-,-,-,,,,,
,VILLA PURIFICACION,,-,-,-,-,,,,,
,SAN MARTIN HIDALGO,,-,-,-,-,,,,,
,TOMATLAN,,  68,  530.25,  514.62, 1 771.88,,,,,
MEXICO,,,  100,  114.23,  110.28,  292.41,,,,,
,ACAMBAY,,-,-,-,-,,,,,
,ALMOLOYA DE JUAREZ,,-,-,-,-,,,,,
,ATLACOMULCO,,-,-,-,-,,,,,
,AXAPUSCO,,-,-,-,-,,,,,
,JILOTEPEC,,-,-,-,-,,,,,
,MALINALCO,,  85,  92.18,  88.48,  239.95,,,,,
,MORELOS,,-,-,-,-,,,,,
,NICOLAS ROMERO,,-,-,-,-,,,,,
,NOPALTEPEC,,-,-,-,-,,,,,
,OCUILAN,,  15,  22.05,  21.80,  52.46,,,,,
,TEMASCALTEPEC,,-,-,-,-,,,,,
,ZUMPAHUACAN,,-,-,-,-,,,,,
MICHOACAN,,,  253, 1 498.63, 1 479.63, 6 689.13,,,,,
,APATZINGAN,,  4,  22.00,  22.00,  66.33,,,,,
,ARTEAGA,,-,-,-,-,,,,,
,BUENAVISTA,,  15,  297.00,  295.00,  267.00,,,,,
,COALCOMAN DE VAZQUEZ PALLARES,,-,-,-,-,,,,,
,GABRIEL ZAMORA,,  150,  907.00,  907.00, 5 433.52,,,,,
,INDAPARAPEO,,-,-,-,-,,,,,
,JUAREZ,,  25,  40.63,  40.63,  192.50,,,,,
,JUNGAPEO,,*,  2.00,  2.00,  9.00,,,,,
,MUGICA,,*,  4.00,  4.00,  12.00,,,,,
,NUEVO URECHO,,  3,  10.00,  10.00,  62.00,,,,,
,PAJACUARAN,,-,-,-,-,,,,,
,PARACUARO,,  50,  197.50,  180.50,  614.78,,,,,
,"PIEDAD, LA",,-,-,-,-,,,,,
,PURUANDIRO,,-,-,-,-,,,,,
,TACAMBARO,,-,-,-,-,,,,,
